Date,restaurant_id,Churn Reasons,Churn Remarks,New Remarks
29-Apr-25,112491,Permanently Closed (Outlet/brand),"The franchise owner had informed that he would be relocating. However, as the outlet was closed, the relocation has not yet taken place.","The franchise owner had informed that he would be relocating. However, as the outlet was closed, the relocation has not yet taken place."
29-Apr-25,93976,Permanently Closed (Outlet/brand),Franchise has been closed.Brand doesnt have hold on franchises,Franchise has been closed.Brand doesnt have hold on franchises
29-Apr-25,348865,Permanently Closed (Outlet/brand),"They Don't use POSS, If they Got an order than only they sync the system and all the Ids which are not sync from last 6 Months that are closed outlets.","They Don't use POSS, If they Got an order than only they sync the system and all the Ids which are not sync from last 6 Months that are closed outlets."
29-Apr-25,57861,Permanently Closed (Outlet/brand),Outlet has been remove by owner on 24th January 2026,Outlet has been remove by owner on 24th January 2026
29-Apr-25,332778,Permanently Closed (Outlet/brand),The franchise owner has mentioned that the store is closed due to shortage of staff members.,The franchise owner has mentioned that the store is closed due to shortage of staff members.
29-Apr-25,145328,Permanently Closed (Outlet/brand),"The brand is dead, as its outlets were located in a food court that has now been permanently closed.","The brand is dead, as its outlets were located in a food court that has now been permanently closed."
29-Apr-25,69586,Permanently Closed (Outlet/brand),The Id has been deleted from the dashboard on16 Jan 2026.,The Id has been deleted from the dashboard on16 Jan 2026.
29-Apr-25,144488,Permanently Closed (Outlet/brand),The franchise owners are not punching bills in the POS.They are taking orders manually . The RID Is deleted,The franchise owners are not punching bills in the POS.They are taking orders manually . The RID Is deleted
29-Apr-25,345165,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,157561,Permanently Closed (Outlet/brand),The outlet was permanently closed as the shop owner had increased the rent.,The outlet was permanently closed as the shop owner had increased the rent.
29-Apr-25,20996,Permanently Closed (Outlet/brand),"The brand has been taken over by the current owner from the previous owner. Since this ID was already closed earlier, the current owner is unaware of the reason for its closure.","The brand has been taken over by the current owner from the previous owner. Since this ID was already closed earlier, the current owner is unaware of the reason for its closure."
29-Apr-25,88488,Permanently Closed (Outlet/brand),Franchise has been closed.Brand doesnt have hold on franchises,Franchise has been closed.Brand doesnt have hold on franchises
29-Apr-25,67405,Permanently Closed (Outlet/brand),Brand died due to non-performance,Brand died due to non-performance
29-Apr-25,156153,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,342866,Permanently Closed (Outlet/brand),"Due to some disputes between Brand Owner and Franchise Owner, the franchise allocation process has been put on hold by the Brand Owner and the outlet is shut down. They will continue with the same id or else they will onboard new id once they resume.","Due to some disputes between Brand Owner and Franchise Owner, the franchise allocation process has been put on hold by the Brand Owner."
29-Apr-25,155952,Permanently Closed (Outlet/brand),As confirmed with Brand Owner the outlet is closed due to operational issues.,As confirmed with Brand Owner the outlet is closed due to operational issues.
29-Apr-25,105869,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,367317,Permanently Closed (Outlet/brand),"As confirmed with Diya and Dhruvi, who are the Key Account Managers from the brand, they have informed us that most of the outlet owners have shifted abroad and have decided not to continue with CSB.","As confirmed with Diya and Dhruvi, who are the Key Account Managers from the brand, they have informed us that most of the outlet owners have shifted abroad and have decided not to continue with CSB."
29-Apr-25,18497,Permanently Closed (Outlet/brand),The outlet has been closed as the franchise owner has relocated to Australia.,The outlet has been closed as the franchise owner has relocated to Australia.
29-Apr-25,364288,Permanently Closed (Outlet/brand),"They Don't use POSS, If they Got an order than only they sync the system and all the Ids which are not sync from last 6 Months that are closed outlets.","They Don't use POSS, If they Got an order than only they sync the system and all the Ids which are not sync from last 6 Months that are closed outlets."
29-Apr-25,349664,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,129273,Switched to Another POS,"As confirmed by sales person, they have shifted to another POS (i.e. VasyERP) due to inventory concern confirmed from sales person","As confirmed by sales person, they have shifted to another POS (i.e. VasyERP) due to inventory concern confirmed from sales person"
29-Apr-25,346694,Permanently Closed (Outlet/brand),Franchise has been closed.Brand doesnt have hold on franchises,Franchise has been closed.Brand doesnt have hold on franchises
29-Apr-25,137158,Switched to Another POS,"As confirmed by sales person, they have shifted to another POS (i.e. VasyERP) due to inventory concern confirmed from sales person","As confirmed by sales person, they have shifted to another POS (i.e. VasyERP) due to inventory concern confirmed from sales person"
29-Apr-25,75281,Permanently Closed (Outlet/brand),The outlet was permanently closed as the contract was not renewed.,The outlet was permanently closed as the contract was not renewed.
29-Apr-25,153154,Permanently Closed (Outlet/brand),Due to low sales over the location They have decided to closed that outlets.,Due to low sales over the location They have decided to closed that outlets.
29-Apr-25,65059,Ownership Transferred,Removed from franchise,Removed from franchise
29-Apr-25,337600,Permanently Closed (Outlet/brand),Low Buisness,Low Buisness 
29-Apr-25,326831,Permanently Closed (Outlet/brand),Permanatly closed,Permanatly closed
29-Apr-25,314082,Permanently Closed (Outlet/brand),Outlet permanantly closed,Outlet permanantly closed
29-Apr-25,354458,Permanently Closed (Outlet/brand),Closed by franchisee,Closed by franchisee 
29-Apr-25,345367,Permanently Closed (Outlet/brand),Closed by franchisee,Closed by franchisee 
29-Apr-25,335973,Permanently Closed (Outlet/brand),The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.,The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.
29-Apr-25,87431,Permanently Closed (Outlet/brand),"Due to a legal dispute involving this brand and its owner, management and the owner are unable to concentrate on their franchisees. This brand is losing franchisees, and in a month or two, it will shut down completely.","Due to a legal dispute involving this brand and its owner, management and the owner are unable to concentrate on their franchisees. This brand is losing franchisees, and in a month or two, it will shut down completely. "
29-Apr-25,73410,Permanently Closed (Outlet/brand),"The brand has been closed, and they have now started another business under the name Yatri Cart.","The brand has been closed, and they have now started another business under the name Yatri Cart."
29-Apr-25,341509,Permanently Closed (Outlet/brand),The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.,The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.
29-Apr-25,331160,Permanently Closed (Outlet/brand),The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.,The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.
29-Apr-25,133547,Permanently Closed (Outlet/brand),This is a subsudiary brand of Nino Burgers which is not operational now.,This is a subsudiary brand of Nino Burgers which is not operational now. 
29-Apr-25,324564,Permanently Closed (Outlet/brand),The IDs that I have marked is permanatley Closed and they will share a detailed email to remove from the master log in.,The IDs that I have marked is permanatley Closed and they will share a detailed email to remove from the master log in.
29-Apr-25,142893,Permanently Closed (Outlet/brand),Due to low sales the outlets are closed.,Due to low sales the outlets are closed.
